ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/combined174,0,1,1,0,0,1,1,1,1,2,1,32,15,38,21,0.000194185,61685,7892136,732,54,275.7,Y
../benchmarks/combined175,0,1,1,0,0,1,1,1,1,2,2,32,15,38,21,0.000194185,61477,7892136,732,54,278.86,Y
../benchmarks/combined176,0,1,1,0,0,1,1,1,2,1,1,40,19,44,42,0.000160734,76932,8725802,802,108,269.9,Y
../benchmarks/combined177,0,1,1,0,0,1,1,1,2,1,2,40,19,45,42,0.000160734,76733,8725802,802,108,276.54,Y
../benchmarks/combined178,0,1,1,0,0,1,1,1,2,2,1,40,19,44,42,0.000160734,76909,8725290,802,108,277.0,Y
../benchmarks/combined179,0,1,1,0,0,1,1,1,2,2,2,39,19,45,42,0.000172215,76800,8725448,801,108,284.41,Y
../benchmarks/combined180,0,1,1,0,0,1,2,0,1,1,1,44,21,51,42,2.32724e-05,83040,9857044,883,108,281.37,Y
../benchmarks/combined181,0,1,1,0,0,1,2,0,1,1,2,44,21,51,42,2.28454e-05,82947,9857044,883,108,286.36,Y
../benchmarks/combined182,0,1,1,0,0,1,2,0,1,2,1,44,21,51,42,2.28454e-05,83248,9860628,885,108,276.7,Y
../benchmarks/combined183,0,1,1,0,0,1,2,0,1,2,2,44,21,51,42,2.24183e-05,83158,9860628,885,108,289.43,Y
../benchmarks/combined184,0,1,1,0,0,1,2,0,2,1,1,59,29,66,77,2.13207e-05,110037,11731225,1044,196,257.33,Y
../benchmarks/combined185,0,1,1,0,0,1,2,0,2,1,2,59,29,66,77,2.13207e-05,110062,11731225,1044,196,277.7,Y
../benchmarks/combined186,0,1,1,0,0,1,2,0,2,2,1,59,29,66,77,2.13207e-05,110147,11730201,1044,196,282.64,Y
../benchmarks/combined187,0,1,1,0,0,1,2,0,2,2,2,59,29,66,77,2.28436e-05,110067,11730201,1044,196,270.92,Y
../benchmarks/combined188,0,1,1,0,0,1,2,1,1,1,1,41,19,46,42,4.07324e-05,79347,9582287,856,108,275.33,Y
../benchmarks/combined189,0,1,1,0,0,1,2,1,1,1,2,41,19,46,42,3.1988e-05,79234,9582287,856,108,285.63,Y
../benchmarks/combined190,0,1,1,0,0,1,2,1,1,2,1,41,19,46,42,3.1988e-05,79529,9585871,858,108,286.61,Y
../benchmarks/combined191,0,1,1,0,0,1,2,1,1,2,2,41,19,46,42,2.61584e-05,79488,9585871,858,108,289.93,Y
../benchmarks/combined192,0,1,1,0,0,1,2,1,2,1,1,55,26,55,84,3.73164e-05,108283,10268516,944,216,268.52,Y
../benchmarks/combined193,0,1,1,0,0,1,2,1,2,1,2,55,26,55,84,3.73164e-05,108138,10268516,944,216,249.75,Y
../benchmarks/combined194,0,1,1,0,0,1,2,1,2,2,1,56,26,56,84,3.73164e-05,108288,10267492,944,216,271.95,Y
../benchmarks/combined195,0,1,1,0,0,1,2,1,2,2,2,56,26,56,84,3.99818e-05,108089,10267492,944,216,277.0,Y
../benchmarks/combined196,0,1,1,0,0,2,1,0,1,1,1,34,16,42,21,5.19563e-05,65013,8482868,775,54,269.83,Y
../benchmarks/combined197,0,1,1,0,0,2,1,0,1,1,2,33,16,41,21,5.1985e-05,64860,8210305,755,54,283.68,Y
../benchmarks/combined198,0,1,1,0,0,2,1,0,1,2,1,34,16,41,21,4.85194e-05,64972,8212097,753,54,276.85,Y
../benchmarks/combined199,0,1,1,0,0,2,1,0,1,2,2,34,16,41,21,4.85155e-05,64846,8209793,755,54,269.75,Y
../benchmarks/combined200,0,1,1,0,0,2,1,0,2,1,1,42,21,50,38,4.02264e-05,78964,9538116,855,98,272.33,Y
../benchmarks/combined201,0,1,1,0,0,2,1,0,2,1,2,41,20,49,38,4.02206e-05,78555,9241979,838,98,270.48,Y
../benchmarks/combined202,0,1,1,0,0,2,1,0,2,2,1,41,20,49,38,4.02206e-05,78745,9241467,838,98,269.1,Y
../benchmarks/combined203,0,1,1,0,0,2,1,0,2,2,2,41,20,49,38,4.30935e-05,78584,9241723,839,98,279.17,Y
../benchmarks/combined204,0,1,1,0,0,2,1,1,1,1,1,31,15,39,21,0.000207825,61702,8373992,764,54,273.74,Y
../benchmarks/combined205,0,1,1,0,0,2,1,1,1,1,2,31,15,38,21,0.00020794,61576,8103340,746,54,295.07,Y
../benchmarks/combined206,0,1,1,0,0,2,1,1,1,2,1,31,15,38,21,0.000194077,61800,8105132,744,54,284.65,Y
../benchmarks/combined207,0,1,1,0,0,2,1,1,1,2,2,31,15,38,21,0.000194062,61653,8102828,746,54,282.0,Y
../benchmarks/combined208,0,1,1,0,0,2,1,1,2,1,1,38,18,45,42,0.000160788,76912,9198230,822,108,269.54,Y
../benchmarks/combined209,0,1,1,0,0,2,1,1,2,1,2,38,18,44,42,0.000160765,76628,8903141,808,108,282.96,Y
../benchmarks/combined210,0,1,1,0,0,2,1,1,2,2,1,38,18,43,42,0.000160765,76727,8902629,808,108,282.88,Y
../benchmarks/combined211,0,1,1,0,0,2,1,1,2,2,2,38,18,44,42,0.000172248,76630,8902962,810,108,278.55,Y
