ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Tracking1_Kernel,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Raycast_CreateICPMaps_Kernel,Fusion,Fusion_allocate,Fusion_integrate,Fusion_integrate_Kernel,Total_time,Unnamed: 15,ID,ate
../benchmarks/combined62,0,0,0,0,0,2,2,0,2,2,1,66,35,70,80,2.40524e-05,114950,8762914,916,204,264.76,Y,62,combined62_timing.csv,12.5763383838,0.0,0.0,2.12722110553,0.0,0.0,2.12160301508,0.0,0.0,1934.92053769,3.25512562814,1931.65696985,1927.31298492,1949.8498995,,62,0.032499
../benchmarks/combined63,0,0,0,0,0,2,2,0,2,2,2,66,34,70,80,2.49518e-05,114359,8760502,918,204,263.36,Y,63,combined63_timing.csv,12.2406598985,0.0,0.0,2.12442211055,0.0,0.0,2.11868844221,0.0,0.0,1817.09113568,3.22936180905,1813.85337186,1809.46277387,1831.64482412,,63,0.032481
../benchmarks/combined64,0,0,0,0,0,2,2,1,1,1,1,43,20,37,44,5.82505e-05,80967,5919536,651,112,271.0,Y,64,combined64_timing.csv,12.6184416244,0.0,0.0,2.04304020101,0.0,0.0,2.0372160804,0.0,0.0,1529.25878392,3.18965326633,1526.06075879,1521.64305528,1544.11748744,,64,0.032395
../benchmarks/combined65,0,0,0,0,0,2,2,1,1,1,2,43,20,37,44,4.28936e-05,80987,5919536,651,112,251.63,Y,65,combined65_timing.csv,13.7122385787,0.0,0.0,1.77070854271,0.0,0.0,1.76568341709,0.0,0.0,1642.82125126,3.49233333333,1639.28552764,1634.80269347,1658.5019598,,65,0.032475
../benchmarks/combined66,0,0,0,0,0,2,2,1,1,2,1,43,20,37,44,4.00324e-05,81150,5923120,652,112,274.19,Y,66,combined66_timing.csv,12.885928934,0.0,0.0,1.97203015075,0.0,0.0,1.96669346734,0.0,0.0,1507.22726633,3.40170854271,1503.81745729,1499.43892462,1522.27035176,,66,0.032424
../benchmarks/combined67,0,0,0,0,0,2,2,1,1,2,2,43,20,37,44,3.14329e-05,81063,5923120,652,112,271.37,Y,67,combined67_timing.csv,12.9865179487,0.0,0.0,1.85208040201,0.0,0.0,1.84677386935,0.0,0.0,1522.8900201,3.29681909548,1519.58490452,1515.23699497,1537.92472362,,67,0.032653
../benchmarks/combined68,0,0,0,0,0,2,2,1,2,1,1,58,28,48,88,4.00324e-05,111931,7954944,834,224,257.52,Y,68,combined68_timing.csv,12.4029849246,0.0,0.0,2.03055276382,0.0,0.0,2.02490452261,0.0,0.0,1601.96780402,3.24347208122,1598.72275377,1594.40250754,1616.62361809,,68,0.032487
../benchmarks/combined69,0,0,0,0,0,2,2,1,2,1,2,58,28,48,88,3.14329e-05,111956,7954944,834,224,257.06,Y,69,combined69_timing.csv,12.5871717172,0.0,0.0,1.82064321608,0.0,0.0,1.81542211055,0.0,0.0,1603.19977387,3.28730150754,1599.89051256,1595.4729799,1617.9438191,,69,0.032485
../benchmarks/combined70,0,0,0,0,0,2,2,1,2,2,1,58,28,48,88,3.36781e-05,112114,7958528,834,224,266.59,Y,70,combined70_timing.csv,12.0957664975,0.0,0.0,1.93271356784,0.0,0.0,1.92765829146,0.0,0.0,1549.23904523,3.18963636364,1546.04262814,1541.75274874,1563.43180905,,70,0.032653
../benchmarks/combined71,0,0,0,0,0,2,2,1,2,2,2,58,28,48,88,5.82209e-05,111853,7961756,837,224,272.77,Y,71,combined71_timing.csv,11.5650452261,0.0,0.0,1.91957286432,0.0,0.0,1.91436683417,0.0,0.0,1502.24778392,3.05686934673,1499.18245226,1494.82641206,1515.93336683,,71,0.032424
