ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/icp552,0,1,0,1,1,2,0,2,0,0,2,1,83,43,65,65,2.88825e-05,27643,606616,271,75,136.7,Y
../benchmarks/icp553,0,1,0,1,1,2,0,2,1,0,2,1,82,42,64,65,9.61809e-05,27339,631147,276,75,141.06,Y
../benchmarks/icp554,0,1,0,1,1,2,0,4,0,0,2,1,88,46,66,65,2.88825e-05,31512,613532,271,75,143.41,Y
../benchmarks/icp555,0,1,0,1,1,2,0,4,1,0,2,1,87,44,65,65,9.61809e-05,30501,638063,276,75,132.62,Y
../benchmarks/icp576,0,1,1,0,0,0,0,2,0,0,2,1,73,37,51,56,1.12993e-05,23448,595114,222,65,114.39,Y
../benchmarks/icp577,0,1,1,0,0,0,0,2,1,0,2,1,73,37,51,56,2.54235e-05,23661,622122,225,65,115.04,Y
../benchmarks/icp588,0,1,1,0,0,1,0,2,0,0,2,1,75,38,51,56,1.12993e-05,23490,595114,222,65,113.13,Y
../benchmarks/icp589,0,1,1,0,0,1,0,2,1,0,2,1,76,38,51,56,2.54235e-05,23710,622634,225,65,115.11,Y
../benchmarks/icp600,0,1,1,0,0,2,0,2,0,0,2,1,75,38,52,56,1.12993e-05,25582,595366,229,65,109.87,Y
../benchmarks/icp601,0,1,1,0,0,2,0,2,1,0,2,1,75,38,51,56,2.54235e-05,25569,621889,231,65,115.94,Y
../benchmarks/icp602,0,1,1,0,0,2,0,4,0,0,2,1,80,41,52,56,1.12993e-05,29441,603306,229,65,108.38,Y
../benchmarks/icp603,0,1,1,0,0,2,0,4,1,0,2,1,79,40,52,56,2.54235e-05,28748,629829,231,65,114.01,Y
../benchmarks/icp605,0,1,1,0,0,2,0,8,1,0,2,1,89,45,52,56,2.54235e-05,35184,629829,-1,65,-1,N
../benchmarks/icp624,0,1,1,0,1,0,0,2,0,0,2,1,73,38,51,52,3.19268e-05,23844,586593,220,60,116.83,Y
../benchmarks/icp625,0,1,1,0,1,0,0,2,1,0,2,1,73,38,50,52,3.19268e-05,24168,612469,229,60,117.3,Y
../benchmarks/icp636,0,1,1,0,1,1,0,2,0,0,2,1,71,36,52,52,3.19268e-05,24158,586127,219,60,117.75,Y
../benchmarks/icp637,0,1,1,0,1,1,0,2,1,0,2,1,70,36,51,52,3.19268e-05,24206,611395,226,60,118.52,Y
../benchmarks/icp648,0,1,1,0,1,2,0,2,0,0,2,1,80,41,58,52,3.19268e-05,26257,606251,243,60,116.21,Y
../benchmarks/icp649,0,1,1,0,1,2,0,2,1,0,2,1,79,40,57,52,3.19268e-05,26226,631519,250,60,114.82,Y
../benchmarks/icp650,0,1,1,0,1,2,0,4,0,0,2,1,85,44,59,52,3.19268e-05,30161,613167,243,60,117.34,Y
../benchmarks/icp651,0,1,1,0,1,2,0,4,1,0,2,1,83,42,58,52,3.19268e-05,29515,638435,250,60,112.85,Y
../benchmarks/icp672,0,1,1,1,0,0,0,2,0,0,2,1,70,35,56,70,2.40687e-05,24280,597251,252,80,139.68,Y
../benchmarks/icp673,0,1,1,1,0,0,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24030,620675,256,80,141.4,Y
../benchmarks/icp674,0,1,1,1,0,0,1,2,0,0,2,1,85,44,54,70,9.76232e-05,33039,605977,-1,80,-1,N
../benchmarks/icp675,0,1,1,1,0,0,1,2,1,0,2,1,83,43,51,70,0.0998687,33087,601711,-1,80,-1,N
../benchmarks/icp684,0,1,1,1,0,1,0,2,0,0,2,1,71,36,57,70,2.40687e-05,24249,596979,251,80,142.3,Y
../benchmarks/icp685,0,1,1,1,0,1,0,2,1,0,2,1,70,35,56,70,9.61809e-05,23974,621080,256,80,137.34,Y
../benchmarks/icp686,0,1,1,1,0,1,1,2,0,0,2,1,85,44,54,70,9.76232e-05,32999,606031,-1,80,-1,N
../benchmarks/icp687,0,1,1,1,0,1,1,2,1,0,2,1,83,43,51,70,0.0998687,33123,602548,-1,80,-1,N
../benchmarks/icp696,0,1,1,1,0,2,0,2,0,0,2,1,73,37,55,70,2.40687e-05,26455,597536,259,80,137.06,Y
../benchmarks/icp697,0,1,1,1,0,2,0,2,1,0,2,1,72,36,55,70,9.61809e-05,25981,620484,263,80,141.12,Y
../benchmarks/icp698,0,1,1,1,0,2,0,4,0,0,2,1,78,40,56,70,2.40687e-05,30262,605476,259,80,133.77,Y
../benchmarks/icp699,0,1,1,1,0,2,0,4,1,0,2,1,76,38,55,70,9.61809e-05,29189,628424,263,80,141.5,Y
../benchmarks/icp700,0,1,1,1,0,2,0,8,0,0,2,1,90,46,56,70,2.40687e-05,37785,605476,-1,80,-1,N
../benchmarks/icp701,0,1,1,1,0,2,0,8,1,0,2,1,85,43,55,70,9.61809e-05,35798,628424,-1,80,-1,N
../benchmarks/icp720,0,1,1,1,1,0,0,2,0,0,2,1,73,38,55,70,2.88825e-05,24619,588418,256,80,136.87,Y
../benchmarks/icp721,0,1,1,1,1,0,0,2,1,0,2,1,73,38,55,70,9.61809e-05,24449,612176,260,80,136.98,Y
../benchmarks/icp732,0,1,1,1,1,1,0,2,0,0,2,1,70,36,55,70,2.40687e-05,24960,588803,257,80,143.24,Y
../benchmarks/icp733,0,1,1,1,1,1,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24581,611806,262,80,143.88,Y
../benchmarks/icp734,0,1,1,1,1,1,1,2,0,0,2,1,87,45,55,70,9.76232e-05,34197,596790,-1,80,-1,N
../benchmarks/icp735,0,1,1,1,1,1,1,2,1,0,2,1,85,44,51,70,0.0998687,34130,593284,-1,80,-1,N
../benchmarks/icp744,0,1,1,1,1,2,0,2,0,0,2,1,80,41,63,70,2.40687e-05,27396,608483,278,80,143.78,Y
../benchmarks/icp745,0,1,1,1,1,2,0,2,1,0,2,1,78,39,62,70,9.61809e-05,26993,631486,283,80,141.24,Y
../benchmarks/icp746,0,1,1,1,1,2,0,4,0,0,2,1,85,43,64,70,2.40687e-05,32066,615399,-1,80,-1,N
../benchmarks/icp747,0,1,1,1,1,2,0,4,1,0,2,1,82,41,63,70,9.61809e-05,30096,638402,283,80,143.53,Y
